iter	Passed	Remaining
0	12	12946
1	13	6848
2	19	6572
3	20	5184
4	24	4960
5	38	6366
6	50	7191
7	52	6535
8	53	5901
9	65	6497
10	66	5980
11	69	5736
12	70	5357
13	73	5201
14	75	4971
15	79	4862
16	82	4769
17	83	4540
18	85	4395
19	85	4197
20	86	4045
21	93	4141
22	96	4091
23	107	4386
24	113	4422
25	124	4674
26	125	4523
27	126	4404
28	133	4461
29	135	4373
30	136	4265
31	137	4158
32	140	4103
33	152	4325
34	164	4522
35	164	4409
36	168	4375
37	169	4280
38	180	4458
39	182	4375
40	192	4512
41	196	4476
42	208	4638
43	209	4558
44	213	4526
45	224	4659
46	225	4567
47	228	4529
48	231	4494
49	234	4462
50	235	4377
51	235	4295
52	246	4410
53	247	4332
54	258	4444
55	270	4553
56	270	4475
57	272	4422
58	273	4360
59	278	4368
60	279	4310
61	291	4405
62	291	4340
63	297	4352
64	308	4434
65	319	4526
66	320	4459
67	323	4435
68	324	4373
69	335	4455
70	341	4463
71	344	4436
72	344	4377
73	345	4323
74	345	4266
75	356	4338
76	357	4288
77	359	4250
78	359	4196
79	370	4266
80	382	4335
81	385	4317
82	386	4265
83	387	4224
84	393	4231
85	404	4294
86	415	4362
87	416	4316
88	427	4377
89	429	4344
90	441	4408
91	447	4416
92	458	4470
93	459	4431
94	463	4413
95	464	4370
96	475	4425
97	476	4384
98	487	4432
99	498	4490
100	505	4496
101	517	4552
102	529	4609
103	535	4609
104	535	4563
105	538	4545
106	550	4594
107	551	4551
108	551	4506
109	554	4487
110	554	4444
111	558	4426
112	560	4397
113	563	4376
114	568	4377
115	570	4349
116	576	4354
117	577	4314
118	577	4277
119	589	4323
120	595	4327
121	598	4310
122	602	4298
123	605	4275
124	607	4251
125	607	4216
126	611	4201
127	616	4202
128	621	4196
129	622	4164
130	628	4168
131	629	4137
132	641	4178
133	642	4151
134	643	4122
135	644	4092
136	655	4127
137	655	4097
138	667	4132
139	673	4135
140	675	4113
141	675	4081
142	676	4052
143	686	4081
144	698	4116
145	709	4148
146	714	4147
147	715	4117
148	715	4087
149	721	4088
150	722	4060
151	732	4088
152	743	4117
153	747	4104
154	748	4079
155	758	4105
156	769	4134
157	773	4119
158	773	4090
159	784	4119
160	795	4146
161	797	4127
162	798	4100
163	799	4073
164	810	4099
165	821	4128
166	827	4129
167	831	4116
168	831	4090
169	843	4117
170	855	4147
171	867	4174
172	878	4200
173	890	4226
174	902	4254
175	902	4226
176	914	4253
177	927	4281
178	933	4283
179	946	4311
180	947	4286
181	947	4260
182	948	4234
183	962	4266
184	967	4260
185	980	4290
186	981	4269
187	994	4294
188	1007	4322
189	1008	4298
190	1009	4275
191	1020	4294
192	1023	4281
193	1024	4255
194	1029	4251
195	1033	4239
196	1036	4226
197	1037	4202
198	1043	4199
199	1054	4219
200	1057	4201
201	1059	4183
202	1060	4165
203	1067	4163
204	1078	4184
205	1090	4203
206	1093	4190
207	1105	4210
208	1117	4231
209	1118	4208
210	1122	4195
211	1124	4178
212	1124	4154
213	1125	4134
214	1126	4112
215	1128	4095
216	1129	4076
217	1132	4063
218	1144	4080
219	1144	4058
220	1145	4038
221	1146	4016
222	1146	3995
223	1147	3974
224	1158	3991
225	1159	3971
226	1163	3960
227	1174	3977
228	1186	3994
229	1187	3974
230	1188	3956
231	1200	3972
232	1202	3956
233	1203	3941
234	1215	3955
235	1215	3934
236	1227	3953
237	1228	3933
238	1229	3914
239	1240	3927
240	1252	3943
241	1252	3923
242	1264	3937
243	1269	3934
244	1281	3948
245	1282	3930
246	1294	3945
247	1305	3957
248	1317	3973
249	1329	3988
250	1340	4001
251	1341	3983
252	1352	3994
253	1364	4006
254	1375	4019
255	1388	4034
256	1388	4015
257	1400	4026
258	1403	4015
259	1404	3996
260	1405	3978
261	1408	3967
262	1414	3964
263	1415	3947
264	1427	3960
265	1433	3955
266	1433	3936
267	1440	3933
268	1451	3944
269	1463	3957
270	1464	3940
271	1468	3929
272	1471	3918
273	1477	3914
274	1489	3927
275	1492	3913
276	1492	3895
277	1495	3884
278	1497	3868
279	1508	3879
280	1509	3861
281	1520	3870
282	1521	3855
283	1521	3836
284	1523	3822
285	1527	3812
286	1539	3823
287	1551	3834
288	1557	3831
289	1568	3841
290	1581	3852
291	1584	3842
292	1596	3852
293	1600	3842
294	1603	3833
295	1615	3842
296	1617	3829
297	1618	3812
298	1630	3822
299	1642	3832
300	1648	3828
301	1654	3824
302	1656	3809
303	1657	3794
304	1668	3802
305	1669	3786
306	1680	3794
307	1692	3803
308	1693	3786
309	1705	3795
310	1706	3781
311	1718	3789
312	1719	3773
313	1730	3781
314	1731	3765
315	1733	3752
316	1745	3760
317	1748	3750
318	1759	3756
319	1771	3763
320	1772	3749
321	1784	3756
322	1795	3762
323	1796	3747
324	1802	3742
325	1814	3750
326	1825	3757
327	1837	3764
328	1838	3750
329	1842	3741
330	1844	3728
331	1845	3712
332	1857	3719
333	1859	3707
334	1870	3713
335	1881	3718
336	1893	3725
337	1894	3709
338	1895	3695
339	1906	3701
340	1908	3688
341	1915	3684
342	1916	3670
343	1928	3676
344	1929	3663
345	1941	3669
346	1947	3664
347	1958	3669
348	1959	3654
349	1972	3663
350	1984	3668
351	1987	3658
352	1993	3653
353	1999	3648
354	2011	3653
355	2013	3642
356	2017	3633
357	2019	3621
358	2021	3610
359	2038	3623
360	2038	3608
361	2061	3634
362	2084	3658
363	2090	3652
364	2112	3674
365	2114	3663
366	2134	3681
367	2138	3672
368	2145	3668
369	2157	3674
370	2164	3670
371	2166	3656
372	2168	3644
373	2168	3629
374	2172	3620
375	2175	3609
376	2181	3605
377	2194	3610
378	2206	3616
379	2213	3611
